,category_id,category_name,distance,lat,lon,name
0,11134,Pet Grooming Service,443,51.500761,-0.132576,Marabese
1,13035,Coffee Shop,495,51.498155,-0.132786,Starbucks
2,13035,Coffee Shop,519,51.499091,-0.133591,Starbucks
3,13035,Coffee Shop,626,51.502156,-0.117629,Starbucks
4,13377,Vegan and Vegetarian Restaurant,649,51.496694,-0.133948,MAAD - Plant-Based
5,13035,Coffee Shop,651,51.499107,-0.135596,Starbucks
6,13035,Coffee Shop,843,51.50748,-0.122999,Starbucks
7,13035,Coffee Shop,855,51.507587,-0.123026,Starbucks
8,10032,Night Club,916,51.506071,-0.134752,Royal Automobile Club
9,10032,Night Club,881,51.508129,-0.124161,Heaven
10,10032,Night Club,919,51.508506,-0.126543,Halfway to Heaven
11,13035,Coffee Shop,952,51.503216,-0.113413,Starbucks
12,13035,Coffee Shop,972,51.503704,-0.113391,Starbucks
13,13377,Vegan and Vegetarian Restaurant,1003,51.493028,-0.117318,Ragged Canteen
14,10032,Night Club,1017,51.509123,-0.12374,Retro Bar
15,10032,Night Club,1031,51.508812,-0.131621,Deep Atrraction
16,10032,Night Club,1130,51.507579,-0.137224,The Scotch of St James
17,10032,Night Club,1127,51.507751,-0.137028,The Scotch Club
18,12057,Primary and Secondary School,1135,51.490482,-0.131406,Fairley House School
19,10032,Night Club,1143,51.509564,-0.132904,Klass London Parties
20,10032,Night Club,1144,51.509685,-0.132648,Tiger Tiger
21,12057,Primary and Secondary School,1152,51.490315,-0.131507,The London Diocesan Board For Schools
22,10032,Night Club,1170,51.50999,-0.120191,GMS Music Solutions
23,13377,Vegan and Vegetarian Restaurant,1176,51.507874,-0.137869,Petrichor
24,13377,Vegan and Vegetarian Restaurant,1194,51.510875,-0.126796,Koshari Street
25,10032,Night Club,1212,51.508208,-0.137666,Tramp
26,10032,Night Club,1221,51.510886,-0.128895,Zoo Bar & Club
27,13035,Coffee Shop,1218,51.510821,-0.130309,Starbucks
28,13035,Coffee Shop,1219,51.510391,-0.132585,Starbucks
29,13377,Vegan and Vegetarian Restaurant,1225,51.510579,-0.132012,Vantra Loungevity
30,10032,Night Club,1229,51.510571,-0.132201,Dstrkt
31,10032,Night Club,1229,51.504357,-0.10979,Escort Tours London Agency
32,10032,Night Club,1236,51.511065,-0.129702,Cirque at the London Hippodrome
33,13035,Coffee Shop,1236,51.503994,-0.109461,Starbucks
34,13035,Coffee Shop,1236,51.503994,-0.109461,Starbucks
35,10032,Night Club,1244,51.510274,-0.133938,Piccadilly Institute Night Club
36,10032,Night Club,1226,51.510094,-0.11793,Proud Embankment
37,18008,Basketball Court,1251,51.491352,-0.114949,The Regal
38,13035,Coffee Shop,1259,51.503746,-0.108971,Starbucks
39,13377,Vegan and Vegetarian Restaurant,1261,51.511498,-0.127299,Mildred’s Covent Garden
40,13377,Vegan and Vegetarian Restaurant,1269,51.511524,-0.127958,Maoz
41,10032,Night Club,1267,51.511132,-0.131768,Waxy's Little Sister
42,10032,Night Club,1289,51.509346,-0.137615,The Opal Lounge
43,10032,Night Club,1289,51.511307,-0.131478,Slug and Lettuce
44,10032,Night Club,1290,51.509453,-0.137642,Kadie’s
45,13035,Coffee Shop,1303,51.509994,-0.136489,Starbucks
46,10032,Night Club,1303,51.509449,-0.137736,Bentleys
47,10032,Night Club,1322,51.511066,-0.133181,Bar Rumba
48,10032,Night Club,1321,51.496385,-0.144116,Konnect
49,13035,Coffee Shop,1312,51.494811,-0.143057,Starbucks
50,10032,Night Club,1307,51.508266,-0.13992,Churchills
51,10032,Night Club,1317,51.511991,-0.127216,1 Big Night Out Pub Crawl
52,13377,Vegan and Vegetarian Restaurant,1323,51.49733,-0.144732,Neat Burger
53,10032,Night Club,1310,51.511827,-0.129606,Ku Bar
54,10032,Night Club,1318,51.510341,-0.136004,Elysium Lounge
55,10032,Night Club,1324,51.511878,-0.129666,The Cu Bar
56,10032,Night Club,1330,51.511766,-0.130925,Marbella Tables
57,10032,Night Club,1380,51.510485,-0.116502,Temple Pier
58,13377,Vegan and Vegetarian Restaurant,1326,51.496312,-0.144526,Cookdaily
59,13377,Vegan and Vegetarian Restaurant,1337,51.511985,-0.129693,Ikkyu
60,10032,Night Club,1346,51.512176,-0.126738,Stringfellows
61,10032,Night Club,1334,51.507717,-0.141261,Mahiki
62,10032,Night Club,1337,51.511895,-0.13048,Madrid Lux
63,13377,Vegan and Vegetarian Restaurant,1338,51.512025,-0.122983,Just Falafs
64,11134,Pet Grooming Service,1345,51.489278,-0.117674,Lovely Lucky's
65,13035,Coffee Shop,1348,51.495199,-0.144012,Starbucks
66,10032,Night Club,1351,51.507588,-0.141706,50 Dover Street
67,10032,Night Club,1350,51.509979,-0.137963,The Cuckoo Club
68,13035,Coffee Shop,1389,51.512244,-0.121751,Starbucks
69,13035,Coffee Shop,1387,51.507335,-0.1425,Starbucks
70,10032,Night Club,1381,51.510396,-0.114908,Bar & Co
71,10032,Night Club,1382,51.511558,-0.134257,The Windmill Soho
72,13035,Coffee Shop,1403,51.508058,-0.142061,Starbucks
73,10032,Night Club,1414,51.510478,-0.114309,The Yacht London
74,13035,Coffee Shop,1419,51.4951,-0.144988,Starbucks
75,10032,Night Club,1426,51.512067,-0.133764,The Yard Bar
76,10032,Night Club,1423,51.512807,-0.129468,XclusiveTouch
77,18008,Basketball Court,1441,51.49601,-0.106626,GMH Park Netball Courts
78,10032,Night Club,1433,51.512307,-0.133251,Duke of Wellington
79,10032,Night Club,1436,51.511136,-0.115282,Tutu's
80,13377,Vegan and Vegetarian Restaurant,1437,51.512617,-0.1207,Sagar
81,10032,Night Club,1442,51.512363,-0.133218,The Friendly Society
82,13035,Coffee Shop,1437,51.510355,-0.1392,Starbucks
83,10032,Night Club,1448,51.512346,-0.133595,SophistiCats
84,13377,Vegan and Vegetarian Restaurant,1445,51.512346,-0.133595,Soho Vegan Market
85,10032,Night Club,1456,51.510908,-0.114303,Salsa! Temple
86,13377,Vegan and Vegetarian Restaurant,1472,51.512869,-0.131628,Neat Burger
87,10032,Night Club,1474,51.487117,-0.122282,Bar Code
88,10032,Night Club,1475,51.513127,-0.130739,Soho Clubs
89,10032,Night Club,1465,51.512538,-0.134119,The Box
90,10032,Night Club,1476,51.513165,-0.131082,Ku Bar
91,13035,Coffee Shop,1479,51.512795,-0.13323,Starbucks
92,13035,Coffee Shop,1493,51.494624,-0.145918,Starbucks
93,19040,International Airport,12167,51.504029,0.049552,London City Airport (LCY)
94,19040,International Airport,23268,51.470584,-0.454958,London Heathrow Airport (LHR)
