,category_id,category_name,distance,lat,lon,name
0,13377,Vegan and Vegetarian Restaurant,83,40.754747,-73.982946,Sweetgreen
1,10032,Night Club,148,40.754511,-73.985689,Saci Club
2,10032,Night Club,153,40.754806,-73.985837,New Age Entertainment I
3,10032,Night Club,162,40.754948,-73.985954,Nebula
4,12057,Primary and Secondary School,216,40.752987,-73.984188,Tgs-Think Global School
5,13377,Vegan and Vegetarian Restaurant,44,40.753078,-73.982837,Vegetarian Oasis
6,13035,Coffee Shop,221,40.752961,-73.985148,Starbucks
7,12057,Primary and Secondary School,246,40.753999,-73.986674,School Apparel
8,13035,Coffee Shop,242,40.75672,-73.985819,Starbucks
9,13377,Vegan and Vegetarian Restaurant,257,40.753618,-73.986534,Just Salad
10,13035,Coffee Shop,264,40.754355,-73.987237,Starbucks
11,13377,Vegan and Vegetarian Restaurant,286,40.755802,-73.98081,Vegan on the Fly
12,13377,Vegan and Vegetarian Restaurant,327,40.753239,-73.980834,The Original SoupMan
13,13035,Coffee Shop,297,40.755525,-73.980137,Starbucks
14,10032,Night Club,341,40.757478,-73.981743,Theatrical Rights Worldwide
15,13035,Coffee Shop,317,40.757013,-73.980982,Starbucks
16,10032,Night Club,351,40.757573,-73.986202,Club 23
17,10032,Night Club,353,40.757796,-73.985949,PPC Does New York
18,10032,Night Club,362,40.751717,-73.983265,Club 88
19,13377,Vegan and Vegetarian Restaurant,376,40.752533,-73.987009,Sweetgreen
20,10032,Night Club,366,40.758193,-73.985222,MTV The Seven Studio
21,13377,Vegan and Vegetarian Restaurant,389,40.753051,-73.987873,Beatnic - Fashion District
22,13035,Coffee Shop,398,40.753573,-73.988448,Starbucks
23,13035,Coffee Shop,331,40.755117,-73.979248,Starbucks
24,10032,Night Club,446,40.758938,-73.983635,Pig & Whistle Pub Restaurant
25,10032,Night Club,2369,40.758002,-73.980322,Club Cache
26,13035,Coffee Shop,485,40.753905,-73.978685,Starbucks
27,13035,Coffee Shop,481,40.751831,-73.987758,Starbucks
28,13035,Coffee Shop,527,40.757695,-73.979698,Starbucks
29,13377,Vegan and Vegetarian Restaurant,454,40.752383,-73.988576,Beyond Sushi Herald Square
30,13035,Coffee Shop,507,40.759269,-73.985351,Starbucks Reserve
31,10032,Night Club,500,40.750484,-73.984964,Elis
32,13035,Coffee Shop,504,40.750966,-73.987079,Starbucks
33,10032,Night Club,534,40.759559,-73.98462,R Lounge
34,12057,Primary and Secondary School,528,40.751265,-73.980015,Charter School Board Training
35,10032,Night Club,539,40.758262,-73.988676,Retroclubnyc New York
36,13035,Coffee Shop,582,40.759705,-73.985194,Starbucks
37,13377,Vegan and Vegetarian Restaurant,540,40.750593,-73.986933,Hong Kong Street Cart At Broadway Bites
38,10032,Night Club,587,40.749922,-73.981797,Lunaexotic Dancers
39,13035,Coffee Shop,613,40.75637,-73.990786,Starbucks
40,13035,Coffee Shop,618,40.758741,-73.978909,Starbucks
41,13377,Vegan and Vegetarian Restaurant,613,40.76044,-73.983956,Roast Kitchen
42,13035,Coffee Shop,653,40.751907,-73.990217,Starbucks
43,13035,Coffee Shop,614,40.755564,-73.976688,Starbucks
44,13035,Coffee Shop,646,40.750585,-73.979246,Starbucks
45,10032,Night Club,637,40.760024,-73.987347,The Roof Top
46,13377,Vegan and Vegetarian Restaurant,619,40.754493,-73.976384,Sweetgreen
47,13035,Coffee Shop,624,40.751762,-73.977588,Starbucks
48,13377,Vegan and Vegetarian Restaurant,646,40.751597,-73.977713,The Little Beet
49,13035,Coffee Shop,643,40.749103,-73.983803,Starbucks
50,10032,Night Club,649,40.754887,-73.991732,Manhattan Men Revue - Male Strippers Club & Strip Show
51,10032,Night Club,650,40.755103,-73.991741,Manhattan Men Male Strippers
52,13035,Coffee Shop,600,40.750634,-73.989381,Starbucks
53,10032,Night Club,650,40.759098,-73.98967,Birdland
54,10032,Night Club,670,40.760921,-73.984106,Carolines On Broadway
55,13035,Coffee Shop,626,40.760463,-73.987102,Starbucks
56,12057,Primary and Secondary School,670,40.759884,-73.988565,Montessori Family School West
57,13035,Coffee Shop,668,40.760518,-73.987061,Starbucks
58,13035,Coffee Shop,677,40.748988,-73.982415,Starbucks
59,13377,Vegan and Vegetarian Restaurant,686,40.754572,-73.975883,Neat Burger
60,11134,Pet Grooming Service,687,40.757705,-73.991319,Parker's Doghouse
61,10032,Night Club,690,40.748988,-73.986434,DanceSport Salsa & Bachata Parties NYC
62,13377,Vegan and Vegetarian Restaurant,724,40.753637,-73.992076,Roast Kitchen
63,13377,Vegan and Vegetarian Restaurant,693,40.756874,-73.976128,Roast Kitchen
64,13377,Vegan and Vegetarian Restaurant,728,40.757041,-73.975916,Dill & Parsley
65,13035,Coffee Shop,719,40.757041,-73.975916,Starbucks
66,12057,Primary and Secondary School,725,40.752612,-73.99208,Hselc School
67,13035,Coffee Shop,756,40.748376,-73.985099,Starbucks
68,10032,Night Club,728,40.748937,-73.980317,Union League Club
69,12057,Primary and Secondary School,735,40.752715,-73.992258,New York Alt High School
70,12057,Primary and Secondary School,754,40.752571,-73.97561,Lower Merion School District
71,10032,Night Club,745,40.748588,-73.987248,Rick's Cabaret
72,11134,Pet Grooming Service,756,40.748176,-73.982515,Pet Central
73,10032,Night Club,762,40.7534,-73.992853,Bachata Classes NYC
74,13035,Coffee Shop,780,40.760886,-73.97943,Starbucks
75,13377,Vegan and Vegetarian Restaurant,811,40.761392,-73.980673,Plant Junkie
76,10032,Night Club,776,40.760562,-73.989421,Don't Tell Mama
77,13377,Vegan and Vegetarian Restaurant,743,40.748228,-73.986579,Market Crates
78,13035,Coffee Shop,778,40.750322,-73.976964,Starbucks
79,10032,Night Club,800,40.760612,-73.989554,Swing 46
80,13377,Vegan and Vegetarian Restaurant,788,40.760442,-73.989854,Pure Ktchn
81,13035,Coffee Shop,790,40.752698,-73.992869,Starbucks
82,13035,Coffee Shop,798,40.761845,-73.98187,Starbucks
83,13035,Coffee Shop,867,40.761936,-73.986505,Starbucks
84,13035,Coffee Shop,700,40.755354,-73.974452,Starbucks
85,18008,Basketball Court,836,40.749365,-73.990423,Jordan Terminal 23
86,13035,Coffee Shop,889,40.761794,-73.979771,Starbucks
87,13377,Vegan and Vegetarian Restaurant,855,40.747505,-73.981396,Franchia
88,10032,Night Club,845,40.760014,-73.991715,Rudy's Bar & Grill
89,10032,Night Club,878,40.74728,-73.986306,Cloud Social
90,13035,Coffee Shop,769,40.74805,-73.989192,Starbucks
91,11134,Pet Grooming Service,885,40.749531,-73.976278,Ritzy Canine Carriage House
92,13035,Coffee Shop,888,40.750863,-73.974932,Starbucks
93,13377,Vegan and Vegetarian Restaurant,892,40.759596,-73.97539,Freefoods NYC
94,13035,Coffee Shop,848,40.749124,-73.991375,Starbucks
95,13377,Vegan and Vegetarian Restaurant,920,40.751306,-73.974513,Le Botaniste
96,13377,Vegan and Vegetarian Restaurant,891,40.746764,-73.984862,Hangawi
97,11134,Pet Grooming Service,931,40.746635,-73.985643,Return-A-Pet
98,18008,Basketball Court,927,40.750471,-73.993437,Madison Club
99,18008,Basketball Court,929,40.746532,-73.985464,Basketball Gym At The Dylan
100,10032,Night Club,972,40.749299,-73.992866,Doonya: The Bollywood Workout
101,13377,Vegan and Vegetarian Restaurant,990,40.74888,-73.992413,Sweetgreen
102,13035,Coffee Shop,982,40.763749,-73.985309,Starbucks
103,13035,Coffee Shop,980,40.756755,-73.972541,Starbucks
104,13035,Coffee Shop,963,40.752737,-73.995404,Starbucks
105,13377,Vegan and Vegetarian Restaurant,990,40.76383,-73.984846,Nuleaf
106,11134,Pet Grooming Service,957,40.759074,-73.994562,Dog City MiMA
107,13035,Coffee Shop,1016,40.759743,-73.973793,Starbucks
108,13377,Vegan and Vegetarian Restaurant,1014,40.746394,-73.988303,Plant Bar NYC
109,11134,Pet Grooming Service,1019,40.747915,-73.976215,Doggie-do & Pussycats Too
110,13377,Vegan and Vegetarian Restaurant,1021,40.74637,-73.98838,Vistro Burger
111,13035,Coffee Shop,1014,40.764052,-73.982087,Starbucks
112,10032,Night Club,1024,40.764316,-73.984282,Karaoke Duet 53
113,13377,Vegan and Vegetarian Restaurant,1032,40.762885,-73.977323,Juice Press
114,10032,Night Club,1055,40.749319,-73.994134,Albion Batcave
115,13035,Coffee Shop,1028,40.754301,-73.971484,Starbucks
116,10032,Night Club,1061,40.749316,-73.994221,Down Time Bar
117,10032,Night Club,1071,40.764409,-73.986864,Industry Bar
118,10032,Night Club,1091,40.756198,-73.971165,J J Mag Restaurant
119,13377,Vegan and Vegetarian Restaurant,1109,40.763269,-73.97712,Beyond Sushi
120,13035,Coffee Shop,1079,40.764562,-73.98119,Starbucks
121,10032,Night Club,1125,40.764334,-73.979652,The Carnegie Club
122,10032,Night Club,1112,40.749877,-73.995423,New York Pub Crawl
123,11134,Pet Grooming Service,1115,40.746552,-73.97673,Pet Chauffeur
124,13377,Vegan and Vegetarian Restaurant,1115,40.745007,-73.981998,31st Street Food
125,18008,Basketball Court,1116,40.763603,-73.990721,ABC Hoops
126,13035,Coffee Shop,1127,40.76369,-73.977486,Starbucks
127,18008,Basketball Court,1123,40.763658,-73.990679,ABC Hoops NYC Midtown West Arena
128,13377,Vegan and Vegetarian Restaurant,1156,40.756262,-73.970774,Juice Press
129,11134,Pet Grooming Service,1104,40.760514,-73.995186,Pet Ark
130,12057,Primary and Secondary School,1125,40.748967,-73.973199,The Goddard School
131,11134,Pet Grooming Service,1117,40.746889,-73.992204,Behind The Scenes Grooming
132,13035,Coffee Shop,1121,40.744985,-73.986801,Starbucks
133,13377,Vegan and Vegetarian Restaurant,1134,40.76042,-73.972683,Sweetgreen
134,13377,Vegan and Vegetarian Restaurant,1134,40.75787,-73.971116,Sweetgreen
135,11134,Pet Grooming Service,1137,40.7596,-73.99604,Pets Square NYC
136,10032,Night Club,1137,40.760528,-73.972688,The Core Club
137,13377,Vegan and Vegetarian Restaurant,1141,40.757678,-73.970951,Sweetgreen
138,13377,Vegan and Vegetarian Restaurant,1160,40.765137,-73.981868,Sweetgreen
139,11134,Pet Grooming Service,1149,40.744813,-73.981204,Prime Service NYC
140,11134,Pet Grooming Service,1157,40.747813,-73.973984,Paws Are Us Pet Care
141,11134,Pet Grooming Service,1152,40.747813,-73.973984,Dog House Club
142,10032,Night Club,1153,40.749329,-73.99575,Walter's Bar
143,13377,Vegan and Vegetarian Restaurant,1190,40.744935,-73.988633,Sweetgreen
144,10032,Night Club,1205,40.748009,-73.994694,Mission Nightclub
145,13377,Vegan and Vegetarian Restaurant,1190,40.759008,-73.971012,by CHLOE
146,11134,Pet Grooming Service,1209,40.745053,-73.978287,Walter's Pet Styles
147,11134,Pet Grooming Service,1046,40.744983,-73.978262,Kimomi Pet
148,13377,Vegan and Vegetarian Restaurant,1205,40.744748,-73.989047,Scen
149,11134,Pet Grooming Service,1195,40.744833,-73.978453,Biscuits & Bath
150,10032,Night Club,1226,40.763484,-73.993119,Fairytail Lounge
151,13377,Vegan and Vegetarian Restaurant,1223,40.74441,-73.988319,Planta Queen
152,11134,Pet Grooming Service,1207,40.745452,-73.991492,D Pet Hotels
153,13377,Vegan and Vegetarian Restaurant,1250,40.759343,-73.970588,Mulberry & Vine
154,11134,Pet Grooming Service,1257,40.745943,-73.975308,Happy Feet Pet Shop II
155,10032,Night Club,1261,40.764662,-73.991461,As Is NYC
156,11134,Pet Grooming Service,1250,40.745036,-73.976933,New York School Of Dog Grooming
157,10032,Night Club,1246,40.765959,-73.987405,Valhalla
158,13035,Coffee Shop,1275,40.747556,-73.995462,Starbucks
159,13377,Vegan and Vegetarian Restaurant,1273,40.746252,-73.993795,Just Salad
160,13377,Vegan and Vegetarian Restaurant,1267,40.75936,-73.969977,Pure Ktchn
161,13035,Coffee Shop,1281,40.75744,-73.969116,Starbucks
162,13035,Coffee Shop,1284,40.759362,-73.96989,Starbucks
163,13377,Vegan and Vegetarian Restaurant,1300,40.754218,-73.968555,Calista Superfoods
164,11134,Pet Grooming Service,1309,40.755353,-73.968468,Curley Care
165,10032,Night Club,1318,40.763215,-73.972805,Mc Ann's Bar & Restaurant
166,13035,Coffee Shop,1339,40.762911,-73.972344,Starbucks
167,13377,Vegan and Vegetarian Restaurant,1339,40.760224,-73.969924,Juicy Cube
168,13377,Vegan and Vegetarian Restaurant,1332,40.753198,-73.999687,Plant Nation
169,11134,Pet Grooming Service,1338,40.746792,-73.995781,Puppy Loft
170,10032,Night Club,1342,40.757861,-73.999494,HQ Kony Gentlemen's Club
171,13035,Coffee Shop,1351,40.761643,-73.997328,Starbucks
172,10032,Night Club,1345,40.756984,-73.968007,Tacovision
173,11134,Pet Grooming Service,1362,40.743533,-73.990631,New York Dog Spa & Hotel
174,10032,Night Club,1387,40.74435,-73.99269,Somewhere Nowhere NYC
175,11134,Pet Grooming Service,1384,40.761463,-73.970015,Petaholics
176,11134,Pet Grooming Service,1397,40.743422,-73.990714,Urban Dog Spa
177,12057,Primary and Secondary School,1277,40.742308,-73.985024,Unigo School
178,10032,Night Club,1415,40.743007,-73.97812,Center For Contemporary Opera
179,13377,Vegan and Vegetarian Restaurant,1419,40.74241,-73.98028,Vatan Indian Vegetarian
180,11134,Pet Grooming Service,1455,40.744363,-73.993851,Paws In Chelsea
181,11134,Pet Grooming Service,1443,40.760944,-73.999223,Canine Retreat by AKC - West 42
182,11134,Pet Grooming Service,1443,40.760944,-73.999223,Spot Canine Club - Midtown West
183,13377,Vegan and Vegetarian Restaurant,1458,40.752639,-74.001035,Sweetgreen
184,13377,Vegan and Vegetarian Restaurant,1444,40.741805,-73.982702,Marty's V Burger
185,10032,Night Club,1462,40.741805,-73.982702,Gramercy Arts Theater
186,13377,Vegan and Vegetarian Restaurant,1464,40.756761,-73.966785,Veggie Grill
187,11134,Pet Grooming Service,1496,40.746258,-73.997551,Towne House Grooming
188,10032,Night Club,1478,40.764862,-73.97207,Metropolitan Club
189,18008,Basketball Court,1499,40.748117,-73.968711,Robert Moses Basketball Courts
190,11134,Pet Grooming Service,1501,40.754063,-73.966277,Precious Pets
191,13377,Vegan and Vegetarian Restaurant,1469,40.75938,-73.967226,Amata
192,19040,International Airport,9900,40.774546,-73.873296,LaGuardia Airport (LGA)
193,19040,International Airport,17727,40.690377,-74.177145,Newark Liberty International Airport (EWR)
194,19040,International Airport,20763,40.640721,-73.789347,John F. Kennedy International Airport (JFK)
