,category_id,category_name,distance,lat,lon,name
0,10032,Night Club,174,37.778185,-122.393888,Rhythm Ethics Productions
1,13035,Coffee Shop,189,37.776667,-122.394085,Starbucks
2,13035,Coffee Shop,200,37.777025,-122.393676,Starbucks
3,10032,Night Club,229,37.779182,-122.397961,The Grand Nightclub
4,11134,Pet Grooming Service,279,37.776754,-122.392943,Furry Tales
5,10032,Night Club,413,37.774005,-122.396007,Big Heart City
6,10032,Night Club,505,37.78206,-122.397485,Club X
7,12057,Primary and Secondary School,505,37.780504,-122.400333,San Francisco Unified School District
8,12057,Primary and Secondary School,505,37.780504,-122.400333,Fec Middle School
9,10032,Night Club,500,37.781219,-122.399515,Nikitin & Reznikoff Obyebos
10,11134,Pet Grooming Service,532,37.779676,-122.401321,SF Puppy Love
11,12057,Primary and Secondary School,548,37.782266,-122.398214,California Charter Schools
12,12057,Primary and Secondary School,555,37.777137,-122.40207,San Francisco Unified School District
13,10032,Night Club,580,37.778286,-122.402424,Blow Buddies
14,11134,Pet Grooming Service,606,37.778665,-122.40259,Doggie Day Spaw
15,13377,Vegan and Vegetarian Restaurant,589,37.776768,-122.402622,Thai Basil Cart
16,13377,Vegan and Vegetarian Restaurant,612,37.776853,-122.40267,Plant B
17,13377,Vegan and Vegetarian Restaurant,617,37.776665,-122.402687,Roz Ka Affaire
18,13377,Vegan and Vegetarian Restaurant,621,37.776849,-122.402842,Ginger Bowls
19,18008,Basketball Court,672,37.772031,-122.397898,Berry Basketball Courts
20,18008,Basketball Court,672,37.771896,-122.397532,Arterra Mission Bay
21,11134,Pet Grooming Service,676,37.772602,-122.391695,Healthy Spot
22,10032,Night Club,705,37.777331,-122.403802,ShangriLa SF
23,10032,Night Club,719,37.777293,-122.403871,The Endup
24,10032,Night Club,718,37.77989,-122.403666,Covered Wagon Saloon
25,12057,Primary and Secondary School,764,37.783943,-122.392076,Hult International Business School
26,10032,Night Club,853,37.782232,-122.403804,The Red Room
27,11134,Pet Grooming Service,876,37.783786,-122.389414,South Paw Bathhouse Feed Co.
28,10032,Night Club,879,37.778128,-122.405784,Ten 15 Club
29,10032,Night Club,878,37.778128,-122.405784,1015 Folsom
30,10032,Night Club,879,37.778128,-122.405784,Pura Club
31,10032,Night Club,879,37.778128,-122.405784,Dance San Francisco
32,10032,Night Club,873,37.778193,-122.405788,Real Bad
33,11134,Pet Grooming Service,912,37.783824,-122.389344,Bernie's Grooming City Dogs
34,11134,Pet Grooming Service,885,37.78382,-122.389322,Pawtrero Hill BathHouse & Feed
35,13377,Vegan and Vegetarian Restaurant,897,37.770414,-122.391417,Neighborhood Grove San Francisco
36,10032,Night Club,876,37.785531,-122.393101,SYNERGY's GLOW
37,13035,Coffee Shop,918,37.771253,-122.38925,Starbucks
38,11134,Pet Grooming Service,924,37.771253,-122.38925,Coiffure
39,18008,Basketball Court,939,37.778838,-122.406328,Soma Rec Center
40,10032,Night Club,959,37.778035,-122.406567,1040 Folsom
41,13035,Coffee Shop,1020,37.784199,-122.404135,Starbucks
42,13035,Coffee Shop,1056,37.78447,-122.404008,Starbucks
43,10032,Night Club,1039,37.786428,-122.40018,Alibi
44,10032,Night Club,1068,37.787118,-122.397568,Southside Spirit House
45,13035,Coffee Shop,1074,37.770241,-122.403384,Starbucks
46,13377,Vegan and Vegetarian Restaurant,1089,37.787182,-122.398432,Sweetgreen
47,11134,Pet Grooming Service,1093,37.787193,-122.39915,Tefani & So. Dogcare
48,10032,Night Club,1133,37.771064,-122.386157,Bay View Boat Club
49,10032,Night Club,1138,37.787904,-122.397112,Temple Nightclub
50,10032,Night Club,1134,37.785207,-122.404625,The View
51,13377,Vegan and Vegetarian Restaurant,1154,37.785581,-122.404432,Mixt
52,10032,Night Club,1179,37.780935,-122.408387,Monarch
53,10032,Night Club,1165,37.775665,-122.408936,Raven Bar
54,13377,Vegan and Vegetarian Restaurant,1192,37.78127,-122.408583,The Bite
55,13035,Coffee Shop,1170,37.767121,-122.393738,Starbucks
56,13035,Coffee Shop,1184,37.788371,-122.393555,Starbucks
57,13035,Coffee Shop,1225,37.787664,-122.401113,Starbucks
58,10032,Night Club,1207,37.787754,-122.390508,Executive Referral Services
59,10032,Night Club,1250,37.775676,-122.409654,Gossip
60,13035,Coffee Shop,1259,37.784144,-122.407429,Starbucks
61,10032,Night Club,1268,37.775367,-122.409851,Cat Club
62,10032,Night Club,1267,37.775459,-122.409928,Leisure
63,10032,Night Club,1282,37.775459,-122.409928,New Wave City
64,10032,Night Club,1268,37.775394,-122.409924,Dark Shadows
65,10032,Night Club,1271,37.781406,-122.40949,Club Six
66,13035,Coffee Shop,1279,37.786145,-122.405612,Starbucks
67,10032,Night Club,1218,37.781727,-122.409401,Omg
